reading number,time,temperature,humidity,gas,co2
0,59.0,0.0,0.0,0.0,60.0
1,60.0,0.0,0.0,0.0,120.0
2,60.0,0.0,0.0,0.0,60.0
3,60.0,0.0,0.0,0.0,60.0
4,59.0,0.0,0.0,0.0,120.0
5,60.0,0.0,0.0,0.0,60.0
6,60.0,0.0,0.0,0.0,59.0
7,59.0,0.0,0.0,0.0,121.0
8,60.0,0.0,0.0,0.0,60.0
9,60.0,0.0,0.0,0.0,59.0
10,60.0,0.0,0.0,0.0,60.0
11,59.0,0.0,0.0,0.0,59.0
12,60.0,0.0,0.0,0.0,60.0
13,60.0,0.0,0.0,0.0,121.0
14,60.0,0.0,0.0,0.0,60.0
15,60.0,0.0,0.0,0.0,60.0
16,60.0,0.0,0.0,0.0,120.0
17,60.0,0.0,0.0,0.0,60.0
18,59.0,0.0,0.0,0.0,60.0
19,60.0,0.0,0.0,0.0,120.0
20,60.0,0.0,0.0,0.0,60.0
21,60.0,0.0,0.0,0.0,60.0
22,59.0,0.0,0.0,0.0,120.0
23,60.0,0.0,0.0,0.0,59.0
24,60.0,0.0,0.0,0.0,60.0
25,59.0,0.0,0.0,0.0,60.0
26,60.0,0.0,0.0,0.0,59.0
27,60.0,0.0,0.0,0.0,59.0
28,60.0,0.0,0.0,0.0,60.0
29,59.0,0.0,0.0,0.0,59.0
30,60.0,0.0,0.0,0.0,60.0
31,60.0,0.0,0.0,0.0,60.0
32,60.0,0.0,0.0,0.0,60.0
33,60.0,0.0,0.0,0.0,59.0
34,60.0,0.0,0.0,0.0,60.0
35,60.0,0.0,0.0,0.0,60.0
36,59.0,0.0,0.0,0.0,59.0
37,60.0,0.0,0.0,0.0,121.0
38,60.0,0.0,0.0,0.0,60.0
39,60.0,0.0,0.0,0.0,60.0
40,59.0,0.0,0.0,0.0,121.0
41,60.0,0.0,0.0,0.0,120.0
42,60.0,0.0,0.0,0.0,120.0
43,59.0,0.0,0.0,0.0,120.0
44,60.0,0.0,0.0,0.0,60.0
45,60.0,0.0,0.0,0.0,60.0
46,60.0,0.0,0.0,0.0,120.0
47,59.0,0.0,0.0,0.0,60.0
48,60.0,0.0,0.0,0.0,60.0
49,60.0,0.0,0.0,0.0,60.0
50,59.0,0.0,0.0,0.0,59.0
51,60.0,0.0,0.0,0.0,60.0
52,60.0,0.0,0.0,0.0,120.0
53,60.0,0.0,0.0,0.0,120.0
54,59.0,0.0,0.0,0.0,60.0
55,60.0,0.0,0.0,0.0,120.0
56,60.0,0.0,0.0,0.0,60.0
57,60.0,0.0,0.0,0.0,60.0
58,59.0,0.0,0.0,0.0,120.0
59,60.0,0.0,0.0,0.0,60.0
60,60.0,0.0,0.0,0.0,59.0
61,59.0,0.0,0.0,0.0,121.0
62,60.0,0.0,0.0,0.0,60.0
63,60.0,0.0,0.0,0.0,59.0
64,60.0,0.0,0.0,0.0,121.0
65,59.0,0.0,0.0,0.0,60.0
66,60.0,0.0,0.0,0.0,60.0
67,60.0,0.0,0.0,0.0,120.0
68,59.0,0.0,0.0,0.0,59.0
69,60.0,0.0,0.0,0.0,59.0
70,60.0,0.0,0.0,0.0,59.0
71,60.0,0.0,0.0,0.0,59.0
72,59.0,0.0,0.0,0.0,60.0
73,60.0,0.0,0.0,0.0,59.0
74,60.0,0.0,0.0,0.0,60.0
75,60.0,0.0,0.0,0.0,60.0
76,59.0,0.0,0.0,0.0,60.0
77,60.0,0.0,0.0,0.0,60.0
78,60.0,0.0,0.0,0.0,59.0
79,59.0,0.0,0.0,0.0,60.0
80,60.0,0.0,0.0,0.0,59.0
81,60.0,0.0,0.0,0.0,59.0
82,60.0,0.0,0.0,0.0,59.0
83,59.0,0.0,0.0,0.0,60.0
84,60.0,0.0,0.0,0.0,60.0
85,60.0,0.0,0.0,0.0,59.0
86,60.0,0.0,0.0,0.0,60.0
87,60.0,0.0,0.0,0.0,60.0
88,60.0,0.0,0.0,0.0,59.0
89,60.0,0.0,0.0,0.0,60.0
90,59.0,0.0,0.0,0.0,60.0
91,60.0,0.0,0.0,0.0,60.0
92,60.0,0.0,0.0,0.0,59.0
93,60.0,0.0,0.0,0.0,60.0
94,59.0,0.0,0.0,0.0,60.0
95,60.0,0.0,0.0,0.0,59.0
96,60.0,0.0,0.0,0.0,60.0
97,60.0,0.0,0.0,0.0,60.0
98,60.0,0.0,0.0,0.0,59.0
99,60.0,0.0,0.0,0.0,60.0
100,60.0,0.0,0.0,0.0,60.0
101,59.0,0.0,0.0,0.0,60.0
102,60.0,0.0,0.0,0.0,59.0
103,60.0,0.0,0.0,0.0,60.0
104,60.0,0.0,0.0,0.0,60.0
105,59.0,0.0,0.0,0.0,59.0
106,60.0,0.0,0.0,0.0,59.0
107,60.0,0.0,46.0,19641.0,60.0
108,60.0,0.0,46.0,19586.0,60.0
109,60.0,0.0,46.0,19567.0,59.0
110,121.0,0.0,45.0,19641.0,60.0
111,60.0,0.0,45.0,19789.0,60.0
112,60.0,0.0,45.0,19771.0,59.0
113,59.0,0.0,45.0,19678.0,60.0
114,60.0,0.0,45.0,19752.0,60.0
115,60.0,0.0,45.0,19641.0,60.0
116,59.0,0.0,45.0,19789.0,59.0
117,60.0,0.0,45.0,19733.0,60.0
118,59.0,0.0,45.0,19696.0,60.0
119,60.0,0.0,45.0,19715.0,60.0
120,59.0,0.0,45.0,19997.0,59.0
121,59.0,0.0,45.0,20171.0,60.0
122,60.0,0.0,45.0,20151.0,60.0
123,59.0,0.0,45.0,19789.0,59.0
124,59.0,0.0,45.0,19733.0,60.0
125,60.0,0.0,45.0,19386.0,60.0
126,59.0,0.0,46.0,19422.0,60.0
127,59.0,0.0,46.0,19494.0,59.0
128,60.0,0.0,46.0,19494.0,60.0
129,60.0,0.0,46.0,19494.0,60.0
130,59.0,0.0,46.0,19494.0,60.0
131,60.0,0.0,46.0,19641.0,60.0
132,60.0,0.0,45.0,19513.0,60.0
133,59.0,0.0,45.0,19440.0,60.0
134,60.0,0.0,46.0,19368.0,59.0
135,60.0,0.0,46.0,19350.0,60.0
136,59.0,0.0,46.0,19586.0,60.0
137,60.0,0.0,46.0,19567.0,60.0
138,60.0,0.0,46.0,19332.0,59.0
139,60.0,0.0,46.0,19226.0,60.0
