Time,Temperature,Humidity,Gas,CO2
0.4,0.0,40.0,25114.0,505.0
0.8,0.0,0.0,0.0,0.0
0.9,0.0,40.0,25084.0,505.0
1.6,0.0,40.0,25084.0,505.0
2.1,0.0,40.0,25266.0,505.0
2.7,0.0,40.0,25084.0,502.0
3.2,0.0,40.0,25084.0,502.0
3.7,0.0,40.0,24980.0,502.0
4.3,0.0,40.0,24965.0,502.0
4.9,0.0,40.0,25099.0,502.0
5.4,0.0,40.0,25054.0,505.0
5.8,0.0,0.0,0.0,0.0
6.0,0.0,40.0,24950.0,505.0
6.6,0.0,40.0,25220.0,505.0
7.0,0.0,40.0,25025.0,505.0
7.7,0.0,40.0,25220.0,505.0
8.2,0.0,40.0,25084.0,505.0
8.8,0.0,40.0,25130.0,505.0
9.3,0.0,40.0,25099.0,505.0
10.0,0.0,40.0,25054.0,505.0
10.5,0.0,40.0,25069.0,505.0
